bw_req,latency_req,priority,prb_usage,queue_len,hour_of_day,prb_allocated,expected_latency,sla_ok,type_emergency,type_industry,type_normal
1.974,50,2,59.0,37,15,16,40.47,1,False,True,False
0.616,200,1,41.8,17,18,10,136.12,1,False,False,True
0.591,200,1,80.1,17,7,7,164.62,1,False,False,True
0.556,200,1,63.8,38,20,10,152.39,1,False,False,True
2.204,50,2,82.7,39,7,16,39.54,1,False,True,False
2.336,50,2,48.7,41,12,18,39.63,1,False,True,False
5.681,10,3,40.3,49,1,32,10.15,0,True,False,False
0.64,200,1,51.9,5,0,12,128.37,1,False,False,True
0.425,200,1,92.6,44,0,7,175.38,1,False,False,True
0.556,200,1,66.7,46,7,10,149.07,1,False,False,True
5.893,10,3,96.2,16,12,31,9.32,1,True,False,False
0.516,200,1,69.2,36,1,7,167.65,1,False,False,True
0.594,200,1,70.0,17,4,6,189.1,1,False,False,True
1.721,50,2,74.7,27,14,17,41.54,1,False,True,False
2.281,50,2,82.9,2,2,19,41.59,1,False,True,False
1.792,50,2,44.9,4,21,23,31.88,1,False,True,False
1.803,50,2,65.2,3,14,19,39.83,1,False,True,False
0.405,200,1,59.8,24,14,6,185.57,1,False,False,True
0.589,200,1,52.9,40,6,9,151.53,1,False,False,True
2.087,50,2,95.8,33,9,15,42.65,1,False,True,False
0.467,200,1,70.3,23,1,10,148.0,1,False,False,True
1.811,50,2,67.5,47,19,15,43.46,1,False,True,False
2.233,50,2,66.4,45,18,15,42.98,1,False,True,False
1.853,50,2,78.1,6,20,19,35.61,1,False,True,False
0.462,200,1,90.8,43,14,9,162.28,1,False,False,True
0.609,200,1,40.9,41,6,8,153.15,1,False,False,True
2.224,50,2,66.2,36,11,16,41.85,1,False,True,False
0.607,200,1,78.7,31,23,6,191.87,1,False,False,True
0.629,200,1,89.5,13,19,8,166.06,1,False,False,True
6.137,10,3,88.2,21,17,32,6.65,1,True,False,False
0.413,200,1,85.3,21,15,8,163.27,1,False,False,True
2.034,50,2,47.5,35,19,19,38.34,1,False,True,False
5.186,10,3,62.3,49,19,30,7.7,1,True,False,False
0.618,200,1,66.3,9,8,11,137.29,1,False,False,True
0.446,200,1,43.7,7,10,10,138.44,1,False,False,True
0.518,200,1,62.1,7,21,11,135.06,1,False,False,True
1.697,50,2,40.8,25,8,20,36.76,1,False,True,False
4.753,10,3,41.1,8,19,32,9.71,1,True,False,False
0.579,200,1,83.5,19,22,7,170.15,1,False,False,True
0.549,200,1,52.1,42,15,10,149.66,1,False,False,True
2.323,50,2,76.7,47,23,17,42.55,1,False,True,False
0.644,200,1,58.9,8,6,9,150.19,1,False,False,True
6.441,10,3,79.9,37,19,30,9.4,1,True,False,False
0.473,200,1,56.1,37,23,10,145.65,1,False,False,True
1.618,50,2,71.1,41,16,15,43.03,1,False,True,False
0.504,200,1,61.6,21,4,8,157.85,1,False,False,True
2.052,50,2,95.2,44,18,17,42.0,1,False,True,False
0.608,200,1,55.7,44,9,10,148.4,1,False,False,True
0.484,200,1,81.4,25,8,8,165.21,1,False,False,True
1.699,50,2,87.8,2,17,21,36.2,1,False,True,False
0.41,200,1,63.0,9,1,9,147.55,1,False,False,True
0.468,200,1,57.3,16,0,10,145.9,1,False,False,True
0.606,200,1,42.4,37,8,8,153.27,1,False,False,True
0.513,200,1,61.9,42,18,10,151.14,1,False,False,True
0.524,200,1,42.3,27,19,7,160.07,1,False,False,True
0.49,200,1,64.5,15,22,6,187.18,1,False,False,True
5.668,10,3,96.5,8,4,31,8.76,1,True,False,False
1.744,50,2,69.8,6,10,21,37.0,1,False,True,False
4.885,10,3,86.8,36,16,31,6.11,1,True,False,False
1.851,50,2,82.1,11,23,16,40.25,1,False,True,False
1.678,50,2,80.7,41,17,15,41.52,1,False,True,False
2.508,50,2,57.6,12,17,16,41.73,1,False,True,False
0.448,200,1,62.2,40,10,7,166.99,1,False,False,True
1.68,50,2,85.0,13,21,17,39.21,1,False,True,False
2.556,50,2,41.6,39,0,16,39.35,1,False,True,False
0.618,200,1,80.6,13,23,7,164.01,1,False,False,True
1.747,50,2,92.3,14,5,16,41.06,1,False,True,False
0.615,200,1,47.2,30,8,7,161.39,1,False,False,True
6.263,10,3,64.8,24,13,30,4.86,1,True,False,False
0.523,200,1,70.3,1,22,12,130.36,1,False,False,True
0.605,200,1,64.8,3,4,9,150.23,1,False,False,True
1.757,50,2,82.3,30,23,15,45.42,1,False,True,False
6.169,10,3,40.1,38,9,30,6.66,1,True,False,False
0.485,200,1,86.1,21,0,5,224.13,0,False,False,True
0.433,200,1,73.7,35,13,6,192.52,1,False,False,True
0.604,200,1,84.3,17,2,6,190.55,1,False,False,True
0.616,200,1,90.9,35,15,9,165.7,1,False,False,True
6.171,10,3,90.9,5,6,30,9.87,1,True,False,False
2.071,50,2,94.1,34,9,15,43.79,1,False,True,False
2.248,50,2,68.7,32,23,15,44.57,1,False,True,False
0.552,200,1,62.8,49,1,8,160.84,1,False,False,True
0.467,200,1,73.7,18,7,5,223.47,0,False,False,True
2.385,50,2,53.5,4,23,23,35.83,1,False,True,False
5.744,10,3,44.7,15,3,30,7.64,1,True,False,False
1.875,50,2,67.3,10,20,16,38.64,1,False,True,False
1.946,50,2,82.6,39,17,16,44.5,1,False,True,False
0.438,200,1,44.7,25,13,9,149.92,1,False,False,True
0.565,200,1,81.8,39,10,8,165.69,1,False,False,True
0.573,200,1,83.3,32,5,6,192.65,1,False,False,True
0.466,200,1,54.6,25,23,6,182.0,1,False,False,True
1.601,50,2,74.2,45,6,15,41.78,1,False,True,False
0.472,200,1,55.4,29,5,6,183.76,1,False,False,True
0.506,200,1,66.3,37,8,8,160.79,1,False,False,True
0.506,200,1,60.6,7,18,9,147.77,1,False,False,True
0.556,200,1,87.9,19,18,7,172.63,1,False,False,True
0.482,200,1,68.4,48,19,6,191.96,1,False,False,True
0.574,200,1,83.9,43,4,5,231.86,0,False,False,True
0.402,200,1,93.4,42,12,6,197.6,1,False,False,True
4.064,10,3,85.4,16,4,30,8.71,1,True,False,False
1.767,50,2,70.1,45,21,15,44.25,1,False,True,False
4.538,10,3,43.8,41,22,31,9.19,1,True,False,False
0.58,200,1,90.3,16,23,5,226.63,0,False,False,True
1.927,50,2,65.2,39,0,15,40.77,1,False,True,False
0.539,200,1,89.1,45,7,7,177.97,1,False,False,True
0.508,200,1,63.5,18,2,8,156.61,1,False,False,True
2.314,50,2,89.5,38,20,16,44.5,1,False,True,False
